dish_name,prefecture,area_name,main_ingredients,history,image_url,type,seasonality,calories,protein,carbohydrates,fats,sodium,vegan,vegetarian,no_gluten,no_seafood,no_pork,no_dairy,no_nuts,area_lat,area_lon,places
Kobumaki,Hokkaido,Hidaka region,"Kelp, salmon, herring, kanpyo (dried gourd)","Kombu-maki (kelp rolls) originated in Hokkaido, Japan, where kelp production is among the highest. Traditional versions roll salmon or herring inside thin Hidaka kelp, a soft, low-fiber variety native to the region; today kelp rolls are made nationwide and are commonly served at New Year. Hokkaido accounts for about 90% of Japan’s kelp-roll production, reflecting its long kelp culture. Kelp (kombu) itself has a deep history in Japan, mentioned in Shoku Nihon Ki (797). During the Kamakura period, trading ships moved kelp between Matsumae and Honshu; in Muromachi, kelp reached Tsuruga and Kyoto/Osaka. In the Edo period, kelp fishing boomed, and kelp became a major cargo on the Kitamae-bune sea route. Kombu-maki evolved as a local Hokkaido specialty, combining kombu with herring and salmon.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2022/08/hokkaido_24_1-1.jpg,fish dish,all season,450.0,9.5,80.0,5.75,2.0,False,False,False,False,True,True,True,42.438172699999996,142.6367678,[]
Sanpei-Jiru,Hokkaido,All of Hokkaido Prefecture,"Salmon, Cod, Herring, Potatoes, Daikon Radish","Sanpei-jiru is a traditional Hokkaido stew of salt-cured fish simmered with vegetables, typically carrot and daikon, relying on the fish’s own salt for flavor. The origin of the name is debated: one theory ties it to a Matsumae Domain lord who, on a hunting trip, ate a fisherman Sanpei Saito’s improvised soup and named it after him; another links the name to a Sanpei-zara, a deep Arita-yaki dish in which it was served. The dish has been eaten for over 200 years and is mentioned in the Edo-period Touyuki memoir. Regional variations abound: central/eastern Hokkaido favor salted salmon, northern areas sometimes use salted cod; in the Hiyama region there is Shio-Sanpei (salted pollock) and Miso-Sanpei (salted salmon with miso). It is sometimes paired with Ishikari-nabe but differs in broth and the predominance of the fish’s saltiness.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2024/01/hokkaido_3_1-1.jpg,soup,all season,246.5,10.5,12.0,7.0,0.25,False,False,True,False,True,True,True,43.3203266,142.7634737,['ChIJ__8PSIMpC18RwV3l2mTGVgE']
Jingisukan (Lamb and Vegetable Hot Pot),Hokkaido,All of Hokkaido Prefecture,"Lamb, Onion, Bean sprouts, Green bell pepper, Corn","Jingisukan, a lamb and vegetable hot pot iconic to Hokkaido, has roots in early 20th-century shifts in sheep farming. During the Taisho era, wool import restrictions spurred a push to raise sheep in Hokkaido, making lamb consumption in the region grow. After World War II, Japan faced wool shortages again; as imports and synthetic fibers increased, Hokkaido’s sheep farming pivoted from wool to meat. In this context Jingisukan emerged in the Showa period as a dish designed to introduce lamb to Japanese palates. Several origin theories exist, but it is often linked to the Chinese dish Kao Yang Rou (roasted sheep). Today Jingisukan is widely known nationwide. In 2007, it was selected as one of the Local Cuisine Top 100 from Agricultural, Mountain, and Fishing Villages alongside Ishikari Nabe and Salmon Chan Chan Yaki.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2024/01/hokkaido_1_1-1.jpg,meat dish,all season,440.0,36.25,37.5,23.75,0.75,False,False,False,True,True,True,True,43.2203266,142.8634737,[]
Hoshi Mochi(Dried rice cake),Aomori,Tsugaru Region,"sticky rice, Sugar","It has long been a preserved food made during the extremely cold season to take advantage of the cold and humid climate. It is also called “Korimochi”, and made in the Tsugaru region, especially famous in Goshogawara City. In the past, frozen rice cakes that looked like a curtain hung from the eaves of houses were a midwinter tradition. The rice cakes are made by adding more water than usual, cutting them, tying them into long strips of straw. Then, dipping them in water on a cold day, hanging them outdoors to freeze, and finally air-drying them. The whole process takes about two months and is very time-consuming. In the old days, the entire community worked together to make them, and they taste best when made in February, the coldest month of the year.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2023/12/aomori_15_1.jpg,sweets,all season,4460.5,79.5,976.0,7.75,2.0,True,True,True,True,True,True,True,40.8222197,140.74735239999998,[]
Kinka mochi,Aomori,southwestern region,"Flour, walnuts, miso, brown sugar.","Kinka mochi is a traditional southern Japanese sweet born from a harsh agricultural environment. Recurrent Yamase winds damaged rice, prompting communities to cultivate minor grains like wheat, millet, Japanese millet, and buckwheat. This candy-like treat is made from brown sugar, walnuts, and miso paste, wrapped in a flour skin, formed into a half-moon, and boiled. It is called “kinka mochi” (gold coin) because brown sugar was once expensive and a luxury item. Made for over a century, it is offered at Buddhist altars during Obon and to agricultural deities for the New Year. It is also known as bahorimochi for its half-moon shape resembling a woven farming hat, kamasu mochi for a grain-storage bag, and other names reflecting its silhouette.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2023/08/aomori_9_1-1.jpg,sweets,all season,1840.0,43.0,338.0,37.0,1.0,True,True,False,True,True,True,False,40.7657077,140.9175879,"['ChIJQcC39R-fm18R6j9xV-cGqBM', 'ChIJ3bJcqB6fm18RruCZ6EBTv-Q']"
Same no Sukume,Aomori,Tsugaru Region,"Shark, Daikon radish or Cabbage, Green onion, Vinegar, Miso","Same no Sukume, meaning “to wrap with vinegar,” is a Tsugaru region dish (the name is pronounced sugume there). Archaeological findings from the Jomon era show sharks were eaten in Tsugaru, and the Pacific spiny dogfish now accounts for about 90% of the prefecture’s shark catches. The dish features flaked boiled shark head marinated with daikon radish or cabbage in a miso-vinegar dressing, said to have been invented to prevent waste when food was scarce. It remains an essential New Year dish, with some areas adding grated daikon. Beyond sukume, sharks were consumed in izushi (sushi), sashimi, soup, namasu (vinegar salad), and simmered preparations, reflecting a long, diverse shark-rich culinary culture in the region.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2024/02/aomori_28_1-1.jpg,fish dish,all season,462.0,69.0,34.0,5.0,4.0,False,False,False,False,True,True,True,40.7222197,140.64735239999998,"['ChIJrbb982eum18RXrO4USJsKv0', 'ChIJ3wDtCfKnm18RDp1XaSSvpys', 'ChIJixdgqyavm18Rvj-fCjIy6vU', 'ChIJ4Y-ZtYW-m18Rv1DT798NmfU', 'ChIJxcqWHOn4m18RUegXI4gyxiE']"
Ganzuki,Iwate,Southern part of the prefecture,"Flour, sugar, baking soda, vinegar, walnuts, sesame seeds","Ganzuki"" is a sweet eaten throughout the prefecture, especially in the southern part of the prefecture. The name is said to come from its round shape and the sesame seeds placed on top of it in an M-shape, which resemble geese flying toward the full moon. It is a local confectionery made by steaming flour, sugar, eggs, and baking soda and vinegar to make it puff up. It contains sesame and walnuts, and its chunky texture has a simple taste. It has a simple taste with a chewy texture. Because it is filling, it has long been eaten as a snack between farm work (kobiri) or as a daily snack. The brownish looking ones made with brown sugar are called ""kuroganzuki,"" while the ones made with white sugar are called ""shiroganzuki. In addition to Iwate Prefecture, it is also a local snack in Miyagi Prefecture.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2022/08/iwate_4_1-1.jpg,sweets,all season,374.25,6.25,76.5,5.0,0.25,True,True,False,True,True,True,False,39.583298899999996,141.2534574,"['ChIJVzuqtKbIiF8R5KpNvZcXDXk', 'ChIJQZw3avhqhV8R8ldoohNyUDk', 'ChIJL-NL2PRwhV8RaoIZ7nW7deU', 'ChIJM_oXceNThF8Rfx5x6SSn9vc', 'ChIJtQvDPefNiF8RgYKecw5H8eo']"
Samma no Surimi Jiru (Pacific Saury Fish Ball Soup),Iwate,Sanriku Coast Area,"Pacific saury, Daikon radish, Carrot, Tofu, Green onion, Egg, Miso, Soy sauce","Iwate Prefecture catches Pacific saury the most in Honshu Island in Japan. (from Ministry of Agriculture, Forestry and Fisheries “Fisheries and Aquaculture Production Statistics 2020”) People used to make minced sardine and cooked pacific saury with salt-grilled or simmered with salt. The catch of pacific saury has increased in 60 years, and they have started making soup with minced saury since then. The amount of saury catches, however, is decreasing these days. ‘Samma no Surimi Jiru’ is a soup with pacific saury fish ball. You will enjoy simple flavor of seasonings and saury. The tip to make fluffy minced meat is to crush saury meat well in the mortar. It is well-known as a classic home dish during saury season in Sanriku Coast area.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2023/11/iwate_18_2.jpeg,soup,fall,195.75,18.25,10.0,7.75,0.75,False,False,False,False,True,True,True,39.64075,141.9437269,"['ChIJCWwgki2vhF8R_6-EXr_BQkk', 'ChIJ2bB4hKevhF8RMtsS5KodIJg', 'ChIJyYsymiejiF8RN4oZykMKBYo', 'ChIJZ9H1poaiiF8RY9aC6EGIrfs', 'ChIJH-C1ZTK9iF8RPDLiRKafkpw']"
Mame-shitogi,Iwate,Northern region,"Green soybeans, rice flour, sugar, and salt","Mame-shitogi is a fresh sweet made by kneading boiled and ground green soybeans with rice flour and sugar. “Shitogi” means to grind, and while it usually refers to rice-flour offerings, mame-shitogi uses beans as a substitute and is also called mame-suttogi. In northern Iwate, the Yamase wind makes winters very cold and rice paddies scarce, so beans, buckwheat, and millet were cultivated as staple supplements. The dish is thought to be made by adding bulk to rice flour with green soybeans; unlike edamame, green soybeans retain their green skin and insides after maturity. It was often homemade autumn to winter when soybeans were harvested, with customs of offering it to Daikoku-sama (Dec 9 lunar) and Toshitori (Dec 12), the mountain god. In early spring it was made to call for nightingales, and today it is prepared at events like Niwajimai (Akijimai), a farmer’s harvest festival.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2023/08/iwate_8_2.jpg,sweets,all season,2578.0,67.0,517.0,23.0,1.0,True,True,True,True,True,True,True,39.583298899999996,141.3534574,['ChIJWUNfGyTRiF8RNAjudn6J8yA']
Azara,Miyagi,Kesennuma city,"Pickled Chinese cabbage, ocean perch (fish meat and fish scraps), sake lees","Kesennuma City, located in Miyagi Prefecture, is well-known for its fresh fish. During winter, ocean perch is abundant due to its high fat content. ""Azara"", a popular dish made from this fish, has been enjoyed by the locals for a long time. The old pickled Chinese cabbage is fermented through long-term pickling, increasing the sourness of the cabbage. It is then stewed with fresh ocean perch and sake lees to create a dish that has a concentrated umami flavor. Recently, red rockfish, which is just as delicious as ocean perch due to its ""umami-rich broth"" and high-fat content, has become a popular alternative for azara. This is due to the decrease in catch and increase in the price of red rockfish.",https://www.maff.go.jp/e/policies/market/k_ryouri/assets/uploads/2023/09/miyagi_13_1.jpg,soup,all season,179.25,26.0,10.5,2.0,0.5,False,False,False,False,True,True,True,38.907641,141.5703316,"['ChIJJZHA42rtiF8RGj9GCwvR32Y', 'ChIJbxif-L2TiF8RAaaYhDjF5BE', 'ChIJu1RYJq2TiF8RpFQh3-JETm4', 'ChIJF0rkh4uUiF8RZb4GoY0_-jc', 'ChIJb0zlgfiTiF8Rt2O89sBfY_c']"
